occupation,category,code,soccupation
none,none,0,none
Chief executives and legislators,"Management, Business, Science, and Arts Occupations",10,Chief Executives and Legislators
General and Operations Managers,"Management, Business, Science, and Arts Occupations",20,General and Operations Managers
Advertising and Promotions Managers,"Management, Business, Science, and Arts Occupations",40,Advertising and Promotions Managers
Marketing and Sales Managers,"Management, Business, Science, and Arts Occupations",50,Marketing and Sales Managers
Public Relations and Fundraising Managers,"Management, Business, Science, and Arts Occupations",60,Public Relations and Fundraising Managers
Administrative Services Managers,"Management, Business, Science, and Arts Occupations",100,Administrative Services Managers
Computer and Information Systems Managers,"Management, Business, Science, and Arts Occupations",110,Computer and Information Systems Managers
Financial Managers,"Management, Business, Science, and Arts Occupations",120,Financial Managers
Compensation and Benefits Managers,"Management, Business, Science, and Arts Occupations",135,Compensation and Benefits Managers
Human Resources Managers,"Management, Business, Science, and Arts Occupations",136,Human Resources Managers
Training and Development Managers,"Management, Business, Science, and Arts Occupations",137,Training and Development Managers
Industrial Production Managers,"Management, Business, Science, and Arts Occupations",140,Industrial Production Managers
Purchasing Managers,"Management, Business, Science, and Arts Occupations",150,Purchasing Managers
"Transportation, Storage, and Distribution Managers","Management, Business, Science, and Arts Occupations",160,"Transportation, Storage, and Distribution Managers"
"Farmers, Ranchers, and Other Agricultural Managers","Management, Business, Science, and Arts Occupations",205,Farmers and Ranchers
Constructions Managers,"Management, Business, Science, and Arts Occupations",220,Construction Managers
Education Administrators,"Management, Business, Science, and Arts Occupations",230,Education Administrators
Architectural and Engineering Managers,"Management, Business, Science, and Arts Occupations",300,Architectural and Engineering Managers
Food Service Managers,"Management, Business, Science, and Arts Occupations",310,Food Service Managers
"Morticians, Undertakers, and Funeral Directors","Management, Business, Science, and Arts Occupations",4465,"Morticians, Undertakers, and Funeral Directors"
"Miscellaneous Managers, Including Funeral Service Managers and Postmasters and Mail Superintendents","Management, Business, Science, and Arts Occupations",430,Miscellaneous Managers
Gaming Managers,"Management, Business, Science, and Arts Occupations",330,Gaming Managers
Lodging Managers,"Management, Business, Science, and Arts Occupations",340,Lodging Managers
Medical and Health Services Managers,"Management, Business, Science, and Arts Occupations",350,Medical and Health Services Managers
Natural Science Managers,"Management, Business, Science, and Arts Occupations",360,Natural Science Managers
"Property, Real Estate, and Community Association Managers","Management, Business, Science, and Arts Occupations",410,Property Managers
Social and Community Service Managers,"Management, Business, Science, and Arts Occupations",420,Social and Community Service Managers
Emergency Management Directors,"Management, Business, Science, and Arts Occupations",425,Emergency Management Directors
"Agents and Business Managers of Artists, Performers, and Athletes",Business Operations Specialists,500,"Agents and Business Managers of Artists, Performers, and Athletes"
"Buyers and Purchasing Agents, Farm Products",Business Operations Specialists,510,Farm Product Buyers
"Wholesale and Retail Buyers, Except Farm Products",Business Operations Specialists,520,Wholesale and Retail Buyers
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business Operations Specialists,530,Purchasing Agents
"Claims Adjusters, Appraisers, Examiners, and Investigators",Business Operations Specialists,540,Claims Adjusters
Compliance Officers,Business Operations Specialists,565,Compliance Officers
Transportation Security Screeners,Business Operations Specialists,3945,Transportation Security Screeners
Cost Estimators,Business Operations Specialists,600,Cost Estimators
Human Resource Workers,Business Operations Specialists,630,Human Resource Workers
"Compensation, Benefits, and Job Analysis Specialists",Business Operations Specialists,640,Compensation and Benefits Specialists
Training and Development Specialists,Business Operations Specialists,650,Training and Development Specialists
Logisticians,Business Operations Specialists,700,Logisticians
Management Analysts,Business Operations Specialists,710,Management Analysts
"Meeting, Convention, and Event Planners",Business Operations Specialists,725,"Meeting, Convention, and Event Planners"
Fundraisers,Business Operations Specialists,726,Fundraisers
Market Research Analysts and Marketing Specialists,Business Operations Specialists,735,Market Research Analysts and Marketing Specialists
"Business Operations Specialists, All Other",Business Operations Specialists,740,Other Business Operations Specialists
Accountants and Auditors,Financial Specialists,800,Accountants and Auditors
Appraisers and Assessors of Real Estate,Financial Specialists,810,Appraisers and Assessors of Real Estate
Budget Analysts,Financial Specialists,820,Budget Analysts
Credit Analysts,Financial Specialists,830,Credit Analysts
Financial Analysts,Financial Specialists,840,Financial Analysts
Personal Financial Advisors,Financial Specialists,850,Personal Financial Advisers
Insurance Underwriters,Financial Specialists,860,Insurance Underwriters
Financial Examiners,Financial Specialists,900,Financial Examiners
Credit Counselors and Loan Officers,Financial Specialists,910,Credit Counselors and Loan Officers
"Tax Examiners and Collectors, and Revenue Agents",Financial Specialists,930,"Tax Examiners and Collectors, and Revenue Agents"
Tax Preparers,Financial Specialists,940,Tax Preparers
"Financial Specialists, All Other",Financial Specialists,950,Other Financial Specialists
Computer and Information Research Scientists,Computer and Mathematical Occupations,1005,Computer and Information Research Scientists
Computer Systems Analysts,Computer and Mathematical Occupations,1006,Computer Systems Analysts
"Computer Occupations, All Other",Computer and Mathematical Occupations,1107,Other Computer Occupations
Computer Network Architects,Computer and Mathematical Occupations,1106,Computer Network Architects
Information Security Analysts,Computer and Mathematical Occupations,1007,Information Security Analysts
Web Developers,Computer and Mathematical Occupations,1030,Web Developers
Computer Programmers,Computer and Mathematical Occupations,1010,Computer Programmers
"Software Developers, Applications and Systems Software",Computer and Mathematical Occupations,1020,Software Developers
Computer Support Specialists,Computer and Mathematical Occupations,1050,Computer Support Specialists
Database Administrators,Computer and Mathematical Occupations,1060,Database Administrators
Network and Computer Systems Administrators,Computer and Mathematical Occupations,1105,Network and Computer Systems Administrators
Actuaries,Computer and Mathematical Occupations,1200,Actuaries
"Miscellaneous mathematical science occupations, including mathematicians and statisticians",Computer and Mathematical Occupations,1240,Mathematicians and Statisticians
Operations Research Analysts,Computer and Mathematical Occupations,1220,Operations Research Analysts
"Architects, Except Naval",Architecture and Engineering Occupations,1300,Architects
"Surveyors, Cartographers, and Photogrammetrists",Architecture and Engineering Occupations,1310,"Surveyors, Cartographers, and Photogrammetrists"
Aerospace Engineers,Architecture and Engineering Occupations,1320,Aerospace Engineers
Biomedical and agricultural engineers,Architecture and Engineering Occupations,1340,Biomedical and Agricultural Engineers
Chemical Engineers,Architecture and Engineering Occupations,1350,Chemical Engineers
Civil Engineers,Architecture and Engineering Occupations,1360,Civil Engineers
Computer Hardware Engineers,Architecture and Engineering Occupations,1400,Computer Hardware Engineers
Electrical and Electronics Engineers,Architecture and Engineering Occupations,1410,Electrical and Electronics Engineers
Environmental Engineers,Architecture and Engineering Occupations,1420,Environmental Engineers
"Industrial Engineers, including Health and Safety",Architecture and Engineering Occupations,1430,Industrial Engineers
Marine Engineers and Naval Architects,Architecture and Engineering Occupations,1440,Marine Engineers and Naval Architects
Materials Engineers,Architecture and Engineering Occupations,1450,Materials Engineers
Mechanical Engineers,Architecture and Engineering Occupations,1460,Mechanical Engineers
"Petroleum, mining and geological engineers, including mining safety engineers",Architecture and Engineering Occupations,1520,"Petroleum, Mining and Geological Engineers"
Miscellaneous engineeers including nuclear engineers,Architecture and Engineering Occupations,1530,Nuclear and Miscellaneous Engineers
Drafters,Architecture and Engineering Occupations,1540,Drafters
"Engineering Technicians, Except Drafters",Architecture and Engineering Occupations,1550,Engineering Technicians
Surveying and Mapping Technicians,Architecture and Engineering Occupations,1560,Surveying and Mapping Technicians
Agricultural and Food Scientists,"Life, Physical, and Social Science Occupations",1600,Agricultural and Food Scientists
Biological Scientists,"Life, Physical, and Social Science Occupations",1610,Biological Scientists
Conservation Scientists and Foresters,"Life, Physical, and Social Science Occupations",1640,Conservation Scientists and Foresters
"Medical Scientists, and Life Scientists, All Other","Life, Physical, and Social Science Occupations",1650,Medical Scientists and Life Scientists
Astronomers and Physicists,"Life, Physical, and Social Science Occupations",1700,Astronomers and Physicists
Atmospheric and Space Scientists,"Life, Physical, and Social Science Occupations",1710,Atmospheric and Space Scientists
Chemists and Materials Scientists,"Life, Physical, and Social Science Occupations",1720,Chemists and Materials Scientists
Environmental Scientists and Geoscientists,"Life, Physical, and Social Science Occupations",1740,Environmental Scientists and Geoscientists
"Physical Scientists, All Other","Life, Physical, and Social Science Occupations",1760,Other Physical Scientists
