sex,occ,sex_sp,occ_sp,total
1,0,,,4.96E+09
1,0,1,0,3.55E+06
1,0,1,10,67900
1,0,1,20,7500
1,0,1,50,14600
1,0,1,110,12700
1,0,1,120,19500
1,0,1,137,11700
1,0,1,150,4900
1,0,1,160,1100
1,0,1,205,21800
1,0,1,220,31100
1,0,1,230,23500
1,0,1,300,13800
1,0,1,340,13700
1,0,1,350,24400
1,0,1,410,12800
1,0,1,430,175000
1,0,1,520,5600
1,0,1,530,5100
1,0,1,540,11700
1,0,1,565,13700
1,0,1,640,5300
1,0,1,650,7700
1,0,1,700,11200
1,0,1,710,72200
1,0,1,800,49500
1,0,1,840,12600
1,0,1,850,8800
1,0,1,940,11200
1,0,1,1010,9800
1,0,1,1020,35600
1,0,1,1030,3900
1,0,1,1050,18200
1,0,1,1107,6600
1,0,1,1200,4000
1,0,1,1300,12400
1,0,1,1320,14900
1,0,1,1360,3500
1,0,1,1410,36600
1,0,1,1460,9300
1,0,1,1550,47600
1,0,1,1600,7100
1,0,1,1760,6200
1,0,1,1800,23300
1,0,1,1820,17100
1,0,1,1840,13400
1,0,1,1965,10700
1,0,1,2000,14100
1,0,1,2010,6700
1,0,1,2015,10500
1,0,1,2040,36800
1,0,1,2100,55100
1,0,1,2200,44500
1,0,1,2310,20800
1,0,1,2320,14500
1,0,1,2330,6200
1,0,1,2430,6300
1,0,1,2540,2800
1,0,1,2600,1400
1,0,1,2630,10100
1,0,1,2720,4100
1,0,1,2750,12900
1,0,1,2900,4000
1,0,1,3010,6000
1,0,1,3050,19500
1,0,1,3060,36500
1,0,1,3245,6600
1,0,1,3255,8200
1,0,1,3258,9000
1,0,1,3300,6300
1,0,1,3420,27500
1,0,1,3500,22900
1,0,1,3600,18400
1,0,1,3700,13500
1,0,1,3720,5100
1,0,1,3930,20200
1,0,1,4010,5100
1,0,1,4020,25000
1,0,1,4030,10600
1,0,1,4040,7500
1,0,1,4220,59600
1,0,1,4230,12800
1,0,1,4250,33500
1,0,1,4430,17300
1,0,1,4465,14200
1,0,1,4500,4900
1,0,1,4510,4800
1,0,1,4530,8400
1,0,1,4540,5900
1,0,1,4600,16000
1,0,1,4610,27300
1,0,1,4620,1100
1,0,1,4700,73500
1,0,1,4710,46100
1,0,1,4720,5600
1,0,1,4760,40200
1,0,1,4810,2900
1,0,1,4840,10700
1,0,1,4850,43600
1,0,1,4920,25000
1,0,1,4965,4600
1,0,1,5000,23000
1,0,1,5010,9600
1,0,1,5120,2800
1,0,1,5140,9000
1,0,1,5240,21500
1,0,1,5260,28800
1,0,1,5550,15400
1,0,1,5610,11800
1,0,1,5620,21300
1,0,1,5700,5300
1,0,1,5800,7500
1,0,1,5840,13600
1,0,1,5860,6500
1,0,1,5900,7600
1,0,1,6050,39900
1,0,1,6200,13000
1,0,1,6220,11700
1,0,1,6230,36300
1,0,1,6250,13300
1,0,1,6355,7400
1,0,1,6360,10000
1,0,1,6420,8600
1,0,1,6440,8800
1,0,1,6660,3100
1,0,1,6730,6200
1,0,1,6840,6500
1,0,1,7000,1300
1,0,1,7010,12200
1,0,1,7020,5600
1,0,1,7200,15700
1,0,1,7220,16400
1,0,1,7315,17000
1,0,1,7320,10600
1,0,1,7330,23200
1,0,1,7340,4100
1,0,1,7560,3300
1,0,1,7700,14500
1,0,1,7720,1700
1,0,1,7750,7300
1,0,1,7800,21500
1,0,1,7840,19900
1,0,1,7950,9400
1,0,1,8100,10900
1,0,1,8220,30000
1,0,1,8250,1500
1,0,1,8255,10100
1,0,1,8540,2900
1,0,1,8600,12700
1,0,1,8740,30700
1,0,1,8800,6300
1,0,1,8965,27300
1,0,1,9030,20000
1,0,1,9050,18400
1,0,1,9120,15900
1,0,1,9130,66900
1,0,1,9140,22300
1,0,1,9200,9900
1,0,1,9600,9400
1,0,1,9610,14600
1,0,1,9620,11800
1,0,1,9720,17300
1,0,1,9920,31900
1,0,2,0,6.59E+08
1,0,2,10,2.14E+06
1,0,2,20,874900
1,0,2,40,51400
1,0,2,50,1.06E+06
1,0,2,60,99900
1,0,2,100,233500
1,0,2,110,632400
1,0,2,120,2.57E+06
1,0,2,135,134200
1,0,2,136,1.12E+06
1,0,2,137,118300
1,0,2,140,188300
1,0,2,150,293300
1,0,2,160,195100
1,0,2,205,481100
1,0,2,220,179500
1,0,2,230,2.89E+06
1,0,2,300,35600
1,0,2,310,1.43E+06
1,0,2,330,23500
1,0,2,340,293200
1,0,2,350,2.82E+06
1,0,2,360,25800
1,0,2,410,1.30E+06
1,0,2,420,1.36E+06
1,0,2,425,15300
1,0,2,430,6.99E+06
1,0,2,500,74500
1,0,2,510,60400
1,0,2,520,654300
1,0,2,530,856200
1,0,2,540,565500
1,0,2,565,505700
1,0,2,600,45100
1,0,2,630,2.08E+06
1,0,2,640,120000
1,0,2,650,264400
1,0,2,700,66400
1,0,2,710,1.57E+06
1,0,2,725,207900
1,0,2,726,165900
1,0,2,735,339800
1,0,2,740,557800
1,0,2,800,5.15E+06
1,0,2,810,192400
1,0,2,820,124100
1,0,2,830,22600
1,0,2,840,207100
1,0,2,850,542500
1,0,2,860,286200
1,0,2,900,30900
1,0,2,910,859700
1,0,2,930,313400
1,0,2,940,855800
1,0,2,950,85300
1,0,2,1005,29200
1,0,2,1006,664300
1,0,2,1007,28200
1,0,2,1010,333700
1,0,2,1020,716600
1,0,2,1030,128300
1,0,2,1050,610600
1,0,2,1060,207900
1,0,2,1105,134600
1,0,2,1106,26900
1,0,2,1107,401300
1,0,2,1200,37100
1,0,2,1220,265100
1,0,2,1240,42900
1,0,2,1300,85200
1,0,2,1310,61800
1,0,2,1320,65700
1,0,2,1350,22300
1,0,2,1360,58700
1,0,2,1400,77100
1,0,2,1410,78000
1,0,2,1420,11500
1,0,2,1430,110700
1,0,2,1440,11000
1,0,2,1460,81200
1,0,2,1520,15000
1,0,2,1530,127300
1,0,2,1540,113600
1,0,2,1550,336100
1,0,2,1560,27900
1,0,2,1600,27100
1,0,2,1610,48000
1,0,2,1640,8100
1,0,2,1650,221900
1,0,2,1720,114700
1,0,2,1740,39200
1,0,2,1760,233200
1,0,2,1800,28200
1,0,2,1820,561100
1,0,2,1840,31900
1,0,2,1860,42800
1,0,2,1900,73800
1,0,2,1910,62700
1,0,2,1920,119000
1,0,2,1930,20200
1,0,2,1965,222400
1,0,2,2000,1.82E+06
1,0,2,2010,2.90E+06
1,0,2,2015,116400
1,0,2,2016,659800
1,0,2,2025,185800
1,0,2,2040,471800
1,0,2,2050,268600
1,0,2,2060,273600
1,0,2,2100,1.14E+06
1,0,2,2105,17700
1,0,2,2145,1.45E+06
1,0,2,2160,776900
1,0,2,2200,3.26E+06
1,0,2,2300,2.13E+06
1,0,2,2310,1.45E+07
1,0,2,2320,2.14E+06
1,0,2,2330,1.35E+06
1,0,2,2340,2.95E+06
1,0,2,2400,140400
1,0,2,2430,1.18E+06
1,0,2,2440,170700
1,0,2,2540,5.89E+06
1,0,2,2550,530400
1,0,2,2600,567600
1,0,2,2630,1.90E+06
1,0,2,2700,137700
1,0,2,2710,108500
1,0,2,2720,139100
1,0,2,2750,823100
1,0,2,2760,115200
1,0,2,2800,37700
1,0,2,2810,96100
1,0,2,2825,226800
1,0,2,2830,345200
1,0,2,2840,146200
1,0,2,2850,701000
1,0,2,2860,316600
1,0,2,2910,138800
1,0,2,2920,7000
1,0,2,3000,95800
1,0,2,3010,168700
1,0,2,3030,464400
1,0,2,3040,18400
1,0,2,3050,566800
1,0,2,3060,1.15E+06
1,0,2,3110,188500
1,0,2,3120,8800
1,0,2,3140,24300
1,0,2,3150,229300
1,0,2,3160,476400
1,0,2,3200,12800
1,0,2,3210,12200
1,0,2,3220,321000
1,0,2,3230,411800
1,0,2,3245,264200
1,0,2,3250,72800
1,0,2,3255,1.62E+07
1,0,2,3256,166800
1,0,2,3258,521400
1,0,2,3260,81700
1,0,2,3300,1.10E+06
1,0,2,3310,545500
1,0,2,3320,1.03E+06
1,0,2,3400,91000
1,0,2,3420,1.39E+06
1,0,2,3500,4.84E+06
1,0,2,3510,933100
1,0,2,3520,274300
1,0,2,3535,464500
1,0,2,3540,187100
1,0,2,3600,9.75E+06
1,0,2,3610,41300
1,0,2,3620,133500
1,0,2,3630,374600
1,0,2,3640,762800
1,0,2,3645,1.36E+06
1,0,2,3646,453700
1,0,2,3647,120300
1,0,2,3648,51300
1,0,2,3649,283500
1,0,2,3655,509400
1,0,2,3700,23200
1,0,2,3710,100100
1,0,2,3720,25000
1,0,2,3730,107700
1,0,2,3740,44100
1,0,2,3750,36300
1,0,2,3800,362700
1,0,2,3820,84600
1,0,2,3840,22100
1,0,2,3850,261100
1,0,2,3900,14200
1,0,2,3910,154200
1,0,2,3930,731500
1,0,2,3940,335400
1,0,2,3945,41500
1,0,2,3955,131500
1,0,2,4000,352700
1,0,2,4010,1.36E+06
1,0,2,4020,5.79E+06
1,0,2,4030,2.08E+06
1,0,2,4040,545300
1,0,2,4050,887400
1,0,2,4060,261300
1,0,2,4110,2.92E+06
